Date,Open,High,Low,Close,Volume,MA_20,MA_50,RSI
2023-07-31,150.0,153.2,150.0,151.86,2217659.0,,,
2023-08-01,151.86,155.7,150.6,153.37,2723420.0,,,100.0
2023-08-02,152.0,154.49,151.2,151.73,824565.0,,,46.09063160366246
2023-08-03,152.0,152.5,145.06,145.83,959295.0,,,14.922780938791917
2023-08-04,145.5,146.66,142.63,143.38,842918.0,,,11.457840808656243
2023-08-07,142.66,145.42,139.9,140.32,1530950.0,,,8.731046887446453
2023-08-08,140.5,142.5,140.0,141.58,640049.0,,,17.44339391704898
2023-08-09,141.05,147.47,141.01,146.43,969084.0,,,40.84939283399864
2023-08-10,148.0,151.0,146.89,149.04,1548098.0,,,49.196771485493294
2023-08-11,146.9,154.5,146.9,150.3,2784583.0,,,52.669320377210404
2023-08-15,150.4,152.0,148.5,150.12,2800475.0,,,52.12122228318495
2023-08-16,151.0,151.0,149.0,149.83,1082515.0,,,51.19683519873718
2023-08-17,149.83,152.5,147.6,150.87,641023.0,,,54.32532516320551
2023-08-18,151.0,152.0,149.0,149.09,921604.0,,,48.58471818763912
2023-08-21,149.2,150.99,142.2,143.77,2020335.0,,,36.25401374141227
2023-08-22,145.0,145.0,141.89,143.58,746802.0,,,35.90354268641536
2023-08-23,142.5,144.6,140.8,143.57,603399.0,,,35.883880738201924
2023-08-24,143.57,147.25,143.57,146.34,2229931.0,,,44.8872627610551
2023-08-25,147.0,147.99,146.0,146.86,291942.0,,,46.408655573421846
2023-08-28,147.0,147.38,145.1,146.45,1437075.0,147.216,,45.34575841681665
2023-08-29,144.01,147.5,144.01,146.94,542710.0,146.97,,46.91069311490282
2023-08-30,146.28,147.75,146.02,146.46,1143095.0,146.6245,,45.53522761916426
2023-08-31,147.48,149.0,137.5,139.09,7219945.0,145.9925,,30.66697979085781
2023-09-01,139.2,142.49,136.1,141.65,574015.0,145.7835,,38.213752343526934
2023-09-04,142.48,142.89,141.01,142.11,401698.0,145.72,,39.48832002604577
2023-09-05,142.5,142.5,140.05,140.87,249598.0,145.7475,,37.25716656825456
2023-09-06,141.88,143.6,140.0,143.42,790466.0,145.8395,,44.23507241829589
2023-09-07,143.98,145.0,140.75,141.43,583034.0,145.5895,,40.45395993351814
2023-09-08,142.5,142.75,140.5,141.08,936821.0,145.1915,,39.809436756523496
2023-09-11,141.2,141.89,138.0,138.55,962373.0,144.60399999999998,,35.41681181457555
2023-09-12,138.99,146.4,138.0,141.72,4179712.0,144.18400000000003,,43.786380273992094
2023-09-13,142.5,142.89,141.03,141.52,422820.0,143.76850000000002,,43.40419782703873
2023-09-14,142.0,142.5,139.11,141.92,175182.0,143.321,,44.44853771665075
2023-09-15,141.8,143.5,138.82,139.39,1066604.0,142.836,,39.48557181188947
2023-09-18,139.99,141.75,138.8,140.5,1155364.0,142.6725,,42.5180815811423
2023-09-19,141.0,143.0,140.1,142.74,1244220.0,142.6305,,48.16341245852626
2023-09-20,142.99,143.6,141.4,143.45,421166.0,142.6245,,49.844804879390175
2023-09-21,140.51,146.66,140.51,146.08,1379989.0,142.6115,,55.59106314175962
2023-09-22,146.75,147.99,146.0,146.89,968761.0,142.613,,57.21682229987265
2023-09-25,146.8,147.5,145.4,145.91,311402.0,142.58599999999998,,54.611876609637136
2023-09-26,146.0,147.1,145.01,146.01,326292.0,142.5395,,54.837824556898774
2023-09-27,146.98,147.0,143.6,144.21,300230.0,142.427,,50.01173594999745
2023-09-28,144.49,144.49,143.31,143.6,205373.0,142.6525,,48.45541416456769
2023-10-02,144.9,146.0,142.11,144.5,258741.0,142.79500000000002,,50.88396993658502
2023-10-03,145.5,145.97,143.5,144.0,661523.0,142.8895,,49.488934283567275
2023-10-04,144.5,148.99,144.5,147.29,887818.0,143.2105,,57.70563400193298
2023-10-05,148.4,149.25,147.5,148.45,682523.0,143.462,,60.166063288858716
2023-10-06,148.25,148.99,148.0,148.44,182460.0,143.8125,,60.133586568170735
2023-10-09,148.48,153.3,147.7,150.82,1305233.0,144.29950000000002,,64.97880318562063
2023-10-10,151.0,153.1,150.5,152.67,849528.0,145.0055,145.32059999999998,68.21278765250688
2023-10-11,152.99,153.25,151.15,153.05,240518.0,145.57199999999997,145.3444,68.84910537804109
2023-10-12,152.98,155.0,152.6,154.76,1351661.0,146.23399999999998,145.37220000000002,71.603832035419
2023-10-13,153.16,157.8,153.16,157.07,1152395.0,146.9915,145.47899999999998,74.84058186492895
2023-10-16,158.37,158.38,154.75,155.97,825199.0,147.82049999999998,145.6818,70.70744370828572
2023-10-17,155.98,156.5,153.8,154.13,456163.0,148.502,145.8968,64.30967007308192
2023-10-18,153.51,157.85,153.51,156.41,1090749.0,149.1855,146.2186,68.15478737905889
2023-10-19,155.02,159.2,155.02,158.75,658091.0,149.95049999999998,146.562,71.54330106449353
2023-10-20,159.8,160.0,158.0,158.37,510210.0,150.565,146.8008,70.23629055276771
